---------------------------------------------------------------------------
|  Fault    |  No. detected   |   Level    |  c0   |  c1   |  n0   |  n1  |
---------------------------------------------------------------------------
|   1-0     |       13        |     0      |   1   |   1   |   0   | 5320 |
|   1-1     |        0        |     0      |   1   |   1   |   0   | 5320 |
|   4-0     |       15        |     0      |   1   |   1   |   0   | 5320 |
|   4-1     |        0        |     0      |   1   |   1   |   0   | 5320 |
|   8-0     |        0        |     0      |   1   |   1   | 5320  |   0  |
|   8-1     |        7        |     0      |   1   |   1   | 5320  |   0  |
|   11-0    |        6        |     0      |   1   |   1   | 4256  | 1064 |
|   11-1    |        0        |     0      |   1   |   1   | 4256  | 1064 |
|   14-0    |        0        |     0      |   1   |   1   | 5320  |   0  |
|   14-1    |        6        |     0      |   1   |   1   | 5320  |   0  |
|   17-0    |        0        |     0      |   1   |   1   | 4256  | 1064 |
|   17-1    |       17        |     0      |   1   |   1   | 4256  | 1064 |
|   21-0    |        0        |     0      |   1   |   1   | 2128  | 3192 |
|   21-1    |        0        |     0      |   1   |   1   | 2128  | 3192 |
|   24-0    |        6        |     0      |   1   |   1   | 2128  | 3192 |
|   24-1    |       12        |     0      |   1   |   1   | 2128  | 3192 |
|   27-0    |        3        |     0      |   1   |   1   | 2128  | 3192 |
|   27-1    |        0        |     0      |   1   |   1   | 2128  | 3192 |
|   30-0    |       12        |     0      |   1   |   1   | 2128  | 3192 |
|   30-1    |        0        |     0      |   1   |   1   | 2128  | 3192 |
|   34-0    |        2        |     0      |   1   |   1   | 1064  | 4256 |
|   34-1    |        0        |     0      |   1   |   1   | 1064  | 4256 |
|   37-0    |       18        |     0      |   1   |   1   |   0   | 5320 |
|   37-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   40-0    |        2        |     0      |   1   |   1   |   0   | 5320 |
|   40-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   43-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   43-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   47-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   47-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   50-0    |       15        |     0      |   1   |   1   |   0   | 5320 |
|   50-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   53-0    |        0        |     0      |   1   |   1   |   0   | 5320 |
|   53-1    |        0        |     0      |   1   |   1   |   0   | 5320 |
